date,open_price,high_price,low_price,close_price,monthly_change_(open_to_close)_%,range_%,closing_momentum,volatility_index,momentum_score
2013-02-28,1.3574,1.3711,1.3017,1.3056,-3.8161,5.3315,0.0562,5.3156,-0.7464
2013-03-29,1.3056,1.3134,1.275,1.2819,-1.8153,3.0118,0.1797,2.9956,-0.6172
2013-04-30,1.2809,1.3199,1.2746,1.3166,2.7871,3.5541,0.9272,3.4407,0.7881
2013-05-31,1.3166,1.3242,1.2795,1.2993,-1.314,3.4936,0.443,3.4403,-0.387
2013-06-28,1.299,1.3415,1.2952,1.302,0.2309,3.5747,0.1469,3.5561,0.0648
2013-07-31,1.3014,1.3343,1.2757,1.3296,2.1669,4.5936,0.9198,4.4073,0.4812
2013-08-30,1.3299,1.345,1.3179,1.3218,-0.6091,2.0563,0.1439,2.0502,-0.2989
2013-09-30,1.3212,1.3567,1.3103,1.3522,2.3464,3.5412,0.903,3.4314,0.6681
2013-10-31,1.3521,1.3831,1.3474,1.3586,0.4807,2.6495,0.3137,2.6277,0.1821
2013-11-29,1.3587,1.3621,1.3303,1.3586,-0.0074,2.3904,0.8899,2.3406,-0.0031
2013-12-31,1.3586,1.3881,1.3524,1.3741,1.1409,2.6398,0.6078,2.5981,0.4342
2014-01-31,1.3741,1.3775,1.3479,1.3487,-1.8485,2.196,0.027,2.1947,-0.8581
2014-02-28,1.3481,1.3823,1.3476,1.3797,2.344,2.5749,0.9251,2.515,0.9107
2014-03-31,1.3757,1.3964,1.3706,1.3773,0.1163,1.8824,0.2597,1.8732,0.062
2014-04-30,1.3773,1.3904,1.3675,1.3863,0.6535,1.6746,0.821,1.6519,0.393
2014-05-30,1.3864,1.399,1.3587,1.3634,-1.659,2.9661,0.1166,2.9558,-0.5707
2014-06-30,1.3629,1.3695,1.3506,1.3692,0.4622,1.3994,0.9841,1.3804,0.3333
2014-07-31,1.3693,1.3696,1.3368,1.3387,-2.2347,2.4536,0.0579,2.4501,-0.9329
2014-08-29,1.3388,1.3443,1.3131,1.3133,-1.9047,2.3761,0.0064,2.3757,-0.8173
2014-09-30,1.3129,1.3159,1.2572,1.263,-3.8007,4.6691,0.0988,4.6477,-0.8501
2014-10-31,1.263,1.2875,1.2489,1.2521,-0.863,3.0907,0.0829,3.0828,-0.2824
2014-11-28,1.2506,1.26,1.2365,1.2451,-0.4398,1.9021,0.3656,1.889,-0.2338
2014-12-31,1.2446,1.257,1.2095,1.2096,-2.8145,3.9281,0.0023,3.9278,-0.7373
2015-01-30,1.2097,1.2108,1.1097,1.1286,-6.705,9.11,0.1873,8.9572,-0.8024
2015-02-27,1.1312,1.1534,1.1173,1.1186,-1.1059,3.2292,0.0374,3.2253,-0.3467
2015-03-31,1.1181,1.124,1.0461,1.0739,-3.9539,7.4515,0.357,7.2584,-0.5672
2015-04-30,1.074,1.1266,1.0519,1.1211,4.3884,7.1033,0.926,6.6649,0.6308
2015-05-29,1.1211,1.1467,1.0817,1.0991,-1.9633,6.0063,0.2675,5.9113,-0.3388
2015-06-30,1.0968,1.1436,1.0885,1.1129,1.4652,5.0638,0.4423,4.9529,0.2915
2015-07-31,1.1129,1.1216,1.0807,1.098,-1.3335,3.7837,0.4241,3.7239,-0.3629
2015-08-31,1.0975,1.1714,1.0846,1.1218,2.2077,8.003,0.4282,7.7378,0.2791
2015-09-30,1.1218,1.146,1.1085,1.1172,-0.4127,3.3848,0.2305,3.3585,-0.1234
2015-10-30,1.1171,1.1495,1.0896,1.1011,-1.4349,5.4993,0.1919,5.4418,-0.2675
2015-11-30,1.1032,1.1053,1.0555,1.0571,-4.1769,4.7181,0.0329,4.7108,-0.9253
2015-12-31,1.0571,1.106,1.0522,1.0858,2.7149,5.1171,0.6256,4.9584,0.5331
2016-01-29,1.0863,1.0985,1.0708,1.0827,-0.3314,2.5831,0.4302,2.5547,-0.1302
2016-02-29,1.0829,1.1376,1.0812,1.0884,0.5051,5.2153,0.1264,5.1811,0.097
2016-03-31,1.0884,1.1412,1.0822,1.1378,4.536,5.4529,0.9422,5.1864,0.8366
2016-04-29,1.1378,1.1465,1.1215,1.1448,0.6196,2.2246,0.9347,2.1793,0.2826
2016-05-31,1.1454,1.1616,1.1096,1.1132,-2.8173,4.69,0.0684,4.675,-0.6201
2016-06-30,1.1132,1.1428,1.0911,1.1099,-0.292,4.7403,0.3639,4.6599,-0.0628
